country_year,electexec,electleg,electboth,IAEP.Constitution amended this year?,IAEP.Age of constitution (years),govstruct,IAEP.Regional government reps selected,IAEP.Election scheduled,IAEP.Election period,IAEP.Do party nominations field leg candidates?,IAEP.Do party nominations field executive candidates?,IAEP.Leg elec sys,IAEP.Exec elec sys,IAEP.Exec elec rules,IAEP.Num of parties that hold >= 5% of legislature,IAEP.Official state party?,IAEP.Leg elec competetive?,IAEP.Exec elec competetive?,IAEP.Boycotted by major party?,IAEP.Did election cause protest/violence?,IAEP.protestpart,IAEP.% of pop voting in leg elec,IAEP.% of pop voting in exec elec,EXELEC,LEGELEC,QED.Transitional election,QED.Runoff election,QED.Freedom to change government,QED.Freedom of association,QED.Freedom of speech,QED.Overall election quality,QED.Extent of election problems,QED.Pre-election legal structural enviornment,QED.Pre-election political conditions,QED.Pre-election violence/unrest,QED.Pre-election administrative capacity,QED.Election day explicit cheating,QED.Election day violence/unrest,QED.Election day administrative capacity,PEI.# years since last regime transition,PEI.WB income level,"PEI.PEI index of electoral integrity, imputed",PEI.Rating of electoral integrity (1-10),"PEI.Electoral laws index (0-100), imputed","PEI.Electoral prodcedures index (0-100), imputed","PEI.Voting district boundaries index (0-100), imputed","PEI.Voter regisration index (0-100), imputed","PEI.Party/candidate registration index (0-100), imputed","PEI.Media coverage index (0-100), imputed","PEI.Campaign finance index (0-100), imputed","PEI.Voting process index (0-100), imputed","PEI.Vote count index (0-100), imputed","PEI.Voting results/reactions index (protests/disputes) (0-100), imputed","PEI.Electoral authorities index (0-100), imputed",PEI.turnout,POLITY5.fragment,POLITY5.polity2,POLITY5.durable,POLITY5.parreg,POLITY5.parcomp,POLITY5.regtrans,FH.status,FH.fh_total,WB.GDP per capita (constant 2015 US$),"WB.Foreign direct investment, net inflows (BoP, current US$","WB.Inflation, consumer prices (annual %)",WB.Gini index,nelda1,nelda3,nelda4,nelda5,nelda11,nelda17,nelda18,nelda29,nelda30,nelda32,nelda45,nelda46,nelda47,nelda48,nelda49,CIRI.PHYSINT,CIRI.NEW_EMPINX,CIRI.ELECSD,CIRI.WOPOL,CIRI.INJUD,AFRO.datapresent,Press Freedom Index
Congo-1992,No,Yes,No,No,13,Unitary system,Autonomous decision,"Yes, inexact periods",One day,No,No executive elections,Majority,Chosen strictly by a party,N/A - no elected executive,One,No,Yes,Yes,No,No,N/A - no election protest,.a,.a,1,1,1,1,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(2) Moderate - moderate problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-77,-77,-77,NF,11,645.553646412776,-730000,4129.16985661558,NA,yes,yes,yes,yes,no,no,yes,no,N/A,no,unclear,N/A,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,NA
Congo-1993,No,Yes,No,No,1,Unitary system,Autonomous decision,"Yes, inexact periods",Multiple days,No,No,Majority,Directly elected,Majority rule,More than two,No,Yes,Yes,Yes,Yes,Widespread participation,.a,.a,0,1,0,0,(2) Right exists but some problems,(2) Right exists but some problems,(1) Citizens do not have freedom of speech,0,(2) Moderate - moderate problems,(0) Good - no problems,(2) Moderate - moderate problems,(3) High - major problems,(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-77,-77,-77,NF,13,537.277226009004,6870000,1986.90476190476,NA,no,yes,yes,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,NA,NA,NA,NA,NA,NA,NA
Congo-1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-77,-77,-77,NF,13,430.173534737691,-44350000,198.516707416463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Congo-2002,Yes,Yes,Yes,Missing information,NA,Unitary system,Autonomous decision,"Yes, inexact periods",One day,Yes,No,Majority,Directly elected,Majority rule,Missing information,No,Yes,Yes,Yes,No,N/A - no election protest,.a,74.7,1,1,0,0,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(1) Low - minor problems only,NA,(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(2) Moderate - moderate problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,-77,-77,-77,NF,12,334.015687788528,187598693.6,31.5225826025495,NA,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,NA,NA,NA,NA,NA,NA,NA
Congo-2007,No,Yes,No,No,5,Unitary system,Autonomous decision,"Yes, exact periods",One day,Yes,No,Majority,Directly elected,Majority rule,Two,Missing information,Yes,Yes,No,No,N/A - no election protest,.a,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,3,4,NA,NF,11,381.455567739075,1808000000,16.945100654195,NA,no,yes,yes,yes,yes,no,yes,no,N/A,no,yes,no,N/A,no,no,NA,NA,NA,NA,NA,NA,NA
Congo-2009,Yes,No,No,No,7,Unitary system,Autonomous decision,"Yes, exact periods",One day,Yes,No,Majority,Directly elected,Majority rule,Two,Missing information,Missing information,Missing information,Yes,No,N/A - no election protest,.a,66.40000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,3,3,4,NA,NF,12,390.112108886828,-243200000,2.79999999999981,NA,no,yes,yes,yes,yes,no,yes,no,N/A,no,yes,no,N/A,no,no,NA,NA,NA,NA,NA,NA,NA
Congo-2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,6,3,4,NA,NF,12,432.678407381046,2891607809.09542,9.72182806273363,42.1,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,N/A,no,no,NA,NA,NA,NA,NA,NA,NA
Congo-2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,9,3,4,NA,NF,12,497.317039077365,1165720010.30767,0.744198994781499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Congo-2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-3,0,3,3,-2,NF,13,492.802774947731,932374669.380907,2.88585107290009,NA,no,yes,yes,yes,yes,no,no,yes,yes,no,no,N/A,N/A,no,yes,NA,NA,NA,NA,NA,NA,NA
Congo-2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-3,1,3,3,NA,NF,13,494.781248470007,1047979482.55526,NA,NA,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,N/A,no,no,NA,NA,NA,NA,NA,NA,NA
Kenya-1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,2,3,2,NA,NA,NA,835.537965043362,NA,5.01439539323416,NA,no,yes,yes,yes,no,no,no,no,N/A,no,no,N/A,N/A,no,no,NA,NA,NA,NA,NA,NA,NA
Kenya-1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,4,1,-2,NA,NA,909.047033951759,NA,-0.171501006562355,NA,no,yes,no,yes,yes,no,no,no,N/A,no,no,N/A,N/A,no,no,NA,NA,NA,NA,NA,NA,NA
Kenya-1974,No,Yes,No,Yes,11,Unitary system,Missing information,"Yes, inexact periods",One day,Yes,Yes,Plurality (FPP),Directly elected,Plurality,One,Yes,No,No,No,No,N/A - no election protest,.a,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,5,4,1,NA,PF,9,1139.91856414527,23420000,17.8099480331818,NA,no,no,no,yes,yes,yes,no,no,N/A,no,no,N/A,N/A,no,no,NA,NA,NA,NA,NA,NA,NA
Kenya-1979,No,Yes,No,Yes,16,Unitary system,Missing information,"Yes, inexact periods",One day,Yes,Yes,Plurality (FPP),Directly elected,Plurality,One,Yes,No,No,No,No,N/A - no election protest,67.69,.a,1,1,0,0,(2) Right exists but some problems,(1) Citizens do not have freedom of association,(2) Right exists but some problems,0.5,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,10,4,2,0,PF,9,1224.6169360012,84009903.2805679,7.97935261848787,NA,no,no,no,yes,yes,yes,no,no,N/A,no,no,N/A,N/A,no,no,NA,NA,NA,NA,NA,NA,NA
Kenya-1983,No,Yes,No,No,20,Unitary system,Missing information,"Yes, inexact periods",One day,Yes,Yes,Plurality (FPP),Directly elected,Plurality,One,Yes,No,No,No,No,N/A - no election protest,48.25,.a,1,1,0,0,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,1,(2) Moderate - moderate problems,(3) High - major problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,14,4,1,NA,PF,10,1182.73878945069,23738842.6826748,11.3977827368523,NA,no,no,no,yes,yes,no,yes,no,N/A,no,no,N/A,N/A,no,no,6,6,1,1,2,NA,NA
Kenya-1988,No,Yes,No,Yes,25,Unitary system,Missing information,"Yes, inexact periods",One day,Yes,Yes,Plurality (FPP),Directly elected,Plurality,One,Yes,No,No,No,No,N/A - no election protest,.a,.a,0,1,0,0,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(1) Citizens do not have freedom of speech,1,(3) High - major problems,(3) High - major problems,(3) High - major problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,19,4,1,NA,NF,12,1259.33854864577,394430.639372066,12.2649630481581,NA,yes,no,no,yes,yes,no,no,no,N/A,no,no,N/A,N/A,no,no,3,6,0,2,1,NA,NA
Kenya-1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,22,3,2,0,NF,12,1258.87047241699,18830976.8357173,20.0844955754632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0,1,1,NA,NA
Kenya-1992,No,Yes,No,Yes,29,Unitary system,Missing information,"Yes, inexact periods",One day,Yes,Yes,Plurality (FPP),Directly elected,Plurality,One,No,Yes,Yes,No,No,N/A - no election protest,69.40000000000001,.a,1,1,0,0,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,1,(3) High - major problems,(2) Moderate - moderate problems,(3) High - major problems,(3) High - major problems,(3) High - major problems,(3) High - major problems,(0) Good - no problems,(2) Moderate - moderate problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,23,3,2,NA,PF,9,1209.14332605012,6363133.1446811,27.3323644475784,57.5,no,yes,yes,yes,yes,no,no,no,N/A,no,yes,yes,yes,no,no,2,4,0,2,0,NA,NA
Kenya-1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,24,3,2,NA,NF,11,1175.80213351068,145655517.114549,45.9788813036218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,2,0,NA,NA
Kenya-1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,25,3,2,NA,NF,12,1170.29709569263,7432412.60236849,28.8143894306732,43.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,1,2,0,NA,NA
Kenya-1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,27,3,2,NA,NF,13,1199.58118001261,108672931.624341,8.86408741577518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,1,2,1,NA,NA
Kenya-1997,Yes,Yes,Yes,Yes,34,Unitary system,Central government decision,"Yes, inexact periods",One day,Yes,Yes,Plurality (FPP),Directly elected,Plurality,More than two,No,Missing information,Missing information,Yes,Yes,Moderate participation,65.5,83.90000000000001,1,1,0,0,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,0.5,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(3) High - major problems,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(0) Good - no problems,(1) Low - minor problems only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,3,4,3,NF,12,1171.4251099973,62096809.7799305,11.3618450505784,45,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,no,no,4,5,1,1,1,NA,NA
Kenya-1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,3,4,NA,NF,11,1176.57581533489,26548245.9700464,6.72243650753925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,1,1,1,NA,NA
Kenya-2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,3,4,NA,NF,11,1157.29558798468,5302622.93940566,5.73859814341468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,1,1,1,NA,24.8
Kenya-2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,3,4,NA,NF,11,1157.29558798468,5302622.93940566,5.73859814341468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,1,1,1,NA,33
Kenya-2002,Yes,Yes,Yes,No,39,Unitary system,Central government decision,"Yes, inexact periods",One day,Yes,Yes,Plurality (FPP),Directly elected,Plurality,More than two,No,Yes,Yes,No,No,N/A - no election protest,57.2,57.2,1,1,0,0,(3) Citizens have the right to change government,(2) Right exists but some problems,(2) Right exists but some problems,0,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,0,2,4,2,PF,8,1132.48646104633,27618447.058206,1.96130821739159,NA,no,yes,yes,yes,yes,no,no,no,N/A,no,yes,yes,no,no,no,2,4,1,2,1,NA,18.5
Kenya-2002,Yes,Yes,Yes,No,39,Unitary system,Central government decision,"Yes, inexact periods",One day,Yes,Yes,Plurality (FPP),Directly elected,Plurality,More than two,No,Yes,Yes,No,No,N/A - no election protest,57.2,57.2,1,1,0,0,(3) Citizens have the right to change government,(2) Right exists but some problems,(2) Right exists but some problems,0,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,0,2,4,2,PF,8,1132.48646104633,27618447.058206,1.96130821739159,NA,no,yes,yes,yes,yes,no,no,no,N/A,no,yes,yes,no,no,no,2,4,1,2,1,NA,25
Kenya-2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,3,2,4,NA,PF,6,1195.77384113291,21211685.395223,10.3127783574682,46.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,2,2,0,1,30.25
Kenya-2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,3,2,4,NA,PF,6,1195.77384113291,21211685.395223,10.3127783574682,46.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,2,2,0,1,55
Kenya-2007,No,No,No,No,38,Unitary system,Missing information,"Yes, inexact periods",One day,Yes,Yes,Plurality (FPP),Directly elected,Plurality,More than two,No,Yes,Yes,No,Yes,Widespread participation,.a,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,5,2,3,0,PF,7,1287.24979019727,729054666.996781,9.75888023027526,NA,no,yes,yes,yes,no,no,no,yes,yes,no,yes,yes,no,no,no,3,5,1,2,0,NA,21.25
Kenya-2007,No,No,No,No,38,Unitary system,Missing information,"Yes, inexact periods",One day,Yes,Yes,Plurality (FPP),Directly elected,Plurality,More than two,No,Yes,Yes,No,Yes,Widespread participation,.a,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,5,2,3,0,PF,7,1287.24979019727,729054666.996781,9.75888023027526,NA,no,yes,yes,yes,no,no,no,yes,yes,no,yes,yes,no,no,no,3,5,1,2,0,NA,32
Kenya-2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,6,2,3,0,PF,7,1255.02509382912,95584970.6665382,26.2398166445063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,1,2,0,1,25
Kenya-2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,6,2,3,0,PF,7,1255.02509382912,95584970.6665382,26.2398166445063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,1,2,0,1,50
Kenya-2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,8,2,4,0,PF,7,1326.38582084424,178064198.569626,3.9613888911539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,1,2,0,NA,NA
Kenya-2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,10,2,4,0,PF,8,1381.96870828926,1380167159.58831,9.37776748155123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8
Kenya-2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,10,2,4,0,PF,8,1381.96870828926,1380167159.58831,9.37776748155123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56
Kenya-2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1,41.275513,4.428571,70.32407,30.902779,50.925926,17.592592,57.47222,62.88889,19.833334,33.94097,36.77778,54.86111,26.631945,85.9,0,9,11,2,4,0,PF,8,1397.37865763256,1118819096.64435,5.71749357037732,NA,no,yes,yes,yes,yes,yes,no,no,N/A,no,yes,yes,no,no,no,NA,NA,NA,NA,NA,NA,30.7
Kenya-2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1,41.275513,4.428571,70.32407,30.902779,50.925926,17.592592,57.47222,62.88889,19.833334,33.94097,36.77778,54.86111,26.631945,85.9,0,9,11,2,4,0,PF,8,1397.37865763256,1118819096.64435,5.71749357037732,NA,no,yes,yes,yes,yes,yes,no,no,N/A,no,yes,yes,no,no,no,NA,NA,NA,NA,NA,NA,79
Kenya-2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,14,2,4,NA,PF,8,1489.75877863318,678803416.953924,6.29715752456274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
Kenya-2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,14,2,4,NA,PF,8,1489.75877863318,678803416.953924,6.29715752456274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,89
Kenya-2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,2,47.434097,4.3333335,64.09722,40.989582,59.82639,34.305557,63.458332,52.833332,23.375,49.270832,56.104168,37.5,40.651043,79.5,0,9,15,2,4,NA,PF,8,1510.58138508086,1266137282.66311,8.0057227913467,NA,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,no,no,NA,NA,NA,NA,NA,NA,31.2
