NEWID,NEWID2,COUNTRY,YEAR,COW,DATELEG,DATEEXEC,LEGELEC,EXELEC,SELTRANS,SELRUNOFF,SP1,SP2,SOBSDOM,SIEMASS,SF1,SF2,SF3,SA1,SA2,SREC,SR0STR,SR11CHEAT,SR13VIOL,SR12CAP,SR21CHEAT,SR23VIOL,SR22CAP,INTERCODER,REC_SCORE,PROBLEMS
667,666,Burkina Faso                ,1992,439,(5) May,NA,(1) Legislative Election,(0) Otherwise,(1) Transition or Transitional Election,(0) Otherwise,4,5,(0) Otherwise,(1) Presence of International Observers,(2) Right exists but some problems,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(1) Low - minor problems only,(1) One variable had to be reconciled,(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,NA,(0) Good - no problems,(1) Low - minor problems only,1,0,1
672,671,Burkina Faso                ,1997,439,(5) May,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,6,(0) Otherwise,(1) Presence of International Observers,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(2) Moderate - moderate problems,(0) Good - no problems,(1) Low - minor problems only,0,0,2
673,672,Burkina Faso                ,1998,439,NA,(11) November,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,NA,8,(1) Presence of Domestic Observers,(1) Presence of International Observers,(2) Right exists but some problems,(3) Citizens have freedom of association,(2) Right exists but some problems,0.5,(2) Moderate - moderate problems,(1) One variable had to be reconciled,(2) Moderate - moderate problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(1) Low - minor problems only,0,0,3
677,676,Burkina Faso                ,2002,439,(5) May,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,10,(1) Presence of Domestic Observers,(1) Presence of International Observers,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,0,(2) Moderate - moderate problems,(1) One variable had to be reconciled,(2) Moderate - moderate problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(1) Low - minor problems only,0,0,2
687,686,Burundi                     ,1982,516,(10) October,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,5,4,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(2) Right exists but some problems,(1) Citizens do not have freedom of speech,1,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(2) Moderate - moderate problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,NA,NA,NA,2,1,4
689,688,Burundi                     ,1984,516,NA,(7) July,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,7,4,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(1) Citizens do not have freedom of speech,1,(2) Moderate - moderate problems,(1) One variable had to be reconciled,(3) High - major problems,NA,(0) Good - no problems,(0) Good - no problems,NA,(0) Good - no problems,(0) Good - no problems,3,0,4
698,697,Burundi                     ,1993,516,(6) June,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,6,4,(1) Presence of Domestic Observers,(1) Presence of International Observers,(3) Citizens have the right to change government,(2) Right exists but some problems,(2) Right exists but some problems,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,NA,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,1,1,0
699,698,Burundi                     ,1993,516,NA,(6) June,(0) Otherwise,(1) Executive Election,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
721,720,C. Verde Is.                ,1985,402,(12) December,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,5,3,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(2) Right exists but some problems,1,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(3) High - major problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,NA,(0) Good - no problems,(0) Good - no problems,1,0,4
727,726,C. Verde Is.                ,1991,402,(1) January,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,5,3,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,1,1,0
728,727,C. Verde Is.                ,1991,402,NA,(2) February,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,5,3,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,1,1,0
732,731,C. Verde Is.                ,1995,402,(12) December,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,3,3,(0) Otherwise,(1) Presence of International Observers,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
733,732,C. Verde Is.                ,1996,402,NA,(2) February,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,NA,3,(0) Otherwise,(1) Presence of International Observers,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
738,737,C. Verde Is.                ,2001,402,NA,(1) January,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,NA,4,(1) Presence of Domestic Observers,(1) Presence of International Observers,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
739,738,C. Verde Is.                ,2001,402,(2) February,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,4,(1) Presence of Domestic Observers,(1) Presence of International Observers,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,2,0,0
761,760,Cambodia                    ,1993,811,(5) May,NA,(1) Legislative Election,(0) Otherwise,(1) Transition or Transitional Election,(0) Otherwise,6,6,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(2) Right exists but some problems,(2) Right exists but some problems,0,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(0) Good - no problems,(3) High - major problems,(3) High - major problems,(0) Good - no problems,(0) Good - no problems,NA,(0) Good - no problems,0,0,2
766,765,Cambodia                    ,1998,811,(7) July,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,18,(0) Otherwise,(1) Presence of International Observers,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,0.5,(2) Moderate - moderate problems,(1) One variable had to be reconciled,(1) Low - minor problems only,(3) High - major problems,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(2) Moderate - moderate problems,NA,(0) Good - no problems,2,0,3
771,770,Cambodia                    ,2003,811,(7) July,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,9,(1) Presence of Domestic Observers,(1) Presence of International Observers,(3) Citizens have the right to change government,(2) Right exists but some problems,(2) Right exists but some problems,0.5,(2) Moderate - moderate problems,(1) One variable had to be reconciled,(0) Good - no problems,(2) Moderate - moderate problems,(3) High - major problems,(1) Low - minor problems only,(2) Moderate - moderate problems,(1) Low - minor problems only,(1) Low - minor problems only,2,0,3
778,777,Cameroon                    ,1980,471,NA,(4) April,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,6,0,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(2) Right exists but some problems,(2) Right exists but some problems,1,(3) High - major problems,"(0) No reconciliation, consensus",(3) High - major problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,5
781,780,Cameroon                    ,1983,471,(5) May,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,7,(0) Otherwise,(1) Presence of International Observers,(1) Citizens do not have right to change government,(2) Right exists but some problems,(2) Right exists but some problems,1,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(3) High - major problems,(2) Moderate - moderate problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,4
782,781,Cameroon                    ,1984,471,NA,(9) September,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,7,4,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(2) Right exists but some problems,1,(3) High - major problems,(1) One variable had to be reconciled,(3) High - major problems,NA,(0) Good - no problems,(0) Good - no problems,NA,(0) Good - no problems,(0) Good - no problems,2,0,5
786,785,Cameroon                    ,1988,471,(4) April,(4) April,(1) Legislative Election,(1) Executive Election,(0) Otherwise,(0) Otherwise,7,6,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(1) Citizens do not have freedom of speech,1,(2) Moderate - moderate problems,(1) One variable had to be reconciled,(3) High - major problems,(2) Moderate - moderate problems,(0) Good - no problems,(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,2,1,4
790,789,Cameroon                    ,1992,471,(3) March,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,8,9,(0) Otherwise,(1) Presence of International Observers,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,1,(3) High - major problems,"(0) No reconciliation, consensus",(2) Moderate - moderate problems,(3) High - major problems,(3) High - major problems,(0) Good - no problems,(3) High - major problems,(2) Moderate - moderate problems,(2) Moderate - moderate problems,3,0,5
791,790,Cameroon                    ,1992,471,NA,(10) October,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,8,9,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(2) Right exists but some problems,(2) Right exists but some problems,0,(2) Moderate - moderate problems,(1) One variable had to be reconciled,(2) Moderate - moderate problems,(0) Good - no problems,(2) Moderate - moderate problems,(0) Good - no problems,(1) Low - minor problems only,(1) Low - minor problems only,(1) Low - minor problems only,2,0,2
796,795,Cameroon                    ,1997,471,(5) May,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,9,(1) Presence of Domestic Observers,(1) Presence of International Observers,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,1,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(2) Moderate - moderate problems,(2) Moderate - moderate problems,(0) Good - no problems,(1) Low - minor problems only,(3) High - major problems,(0) Good - no problems,(2) Moderate - moderate problems,1,0,4
797,796,Cameroon                    ,1997,471,NA,(10) October,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,NA,9,(1) Presence of Domestic Observers,(1) Presence of International Observers,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,1,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(2) Moderate - moderate problems,(2) Moderate - moderate problems,(0) Good - no problems,(1) Low - minor problems only,(3) High - major problems,(0) Good - no problems,(2) Moderate - moderate problems,1,0,4
802,801,Cameroon                    ,2002,471,(6) June,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,11,(1) Presence of Domestic Observers,(1) Presence of International Observers,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,1,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(3) High - major problems,(2) Moderate - moderate problems,(0) Good - no problems,(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(2) Moderate - moderate problems,1,0,4
804,803,Cameroon                    ,2004,471,NA,(10) October,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,NA,15,(1) Presence of Domestic Observers,(1) Presence of International Observers,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,1,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(2) Moderate - moderate problems,(3) High - major problems,(1) Low - minor problems only,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(0) Good - no problems,(2) Moderate - moderate problems,0,0,4
809,808,Canada                      ,1979,20,(5) May,NA,(1) Legislative Election,(0) Otherwise,NA,NA,3,0,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,NA,NA,NA,NA,NA,NA,NA,NA,0
810,809,Canada                      ,1980,20,(2) February,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,2,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
814,813,Canada                      ,1984,20,(9) September,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,5,2,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
818,817,Canada                      ,1988,20,(11) November,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,3,2,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,NA,NA,NA,NA,NA,NA,0,0,0
823,822,Canada                      ,1993,20,(10) October,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,3,4,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,1,0
827,826,Canada                      ,1997,20,(6) June,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,4,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
830,829,Canada                      ,2000,20,(11) November,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,4,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
834,833,Canada                      ,2004,20,(6) June,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,5,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
846,845,Cent. Af. Rep.              ,1986,482,NA,(11) November,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,5,2,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(1) Citizens do not have freedom of speech,0.5,(3) High - major problems,(1) One variable had to be reconciled,(3) High - major problems,NA,(0) Good - no problems,NA,NA,(0) Good - no problems,NA,0,0,NA
847,846,Cent. Af. Rep.              ,1987,482,(7) July,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,5,2,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(2) Right exists but some problems,(1) Citizens do not have freedom of speech,1,(2) Moderate - moderate problems,(1) One variable had to be reconciled,(2) Moderate - moderate problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(1) Low - minor problems only,4,1,4
852,851,Cent. Af. Rep.              ,1992,482,NA,(10) October,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,4,4,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(2) Right exists but some problems,(2) Right exists but some problems,0.5,(3) High - major problems,(1) One variable had to be reconciled,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(1) Low - minor problems only,(0) Good - no problems,(2) Moderate - moderate problems,(0) Good - no problems,(0) Good - no problems,2,0,NA
853,852,Cent. Af. Rep.              ,1993,482,(8) August,(8) August,(1) Legislative Election,(1) Executive Election,(1) Transition or Transitional Election,(1) Run-off Election,5,6,(0) Otherwise,(1) Presence of International Observers,(3) Citizens have the right to change government,(2) Right exists but some problems,(2) Right exists but some problems,0,(1) Low - minor problems only,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(2) Moderate - moderate problems,(0) Good - no problems,(1) Low - minor problems only,(1) Low - minor problems only,(1) Low - minor problems only,2,0,1
858,857,Cent. Af. Rep.              ,1998,482,(12) December,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,7,(0) Otherwise,(1) Presence of International Observers,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(2) Moderate - moderate problems,(1) One variable had to be reconciled,(1) Low - minor problems only,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(2) Moderate - moderate problems,1,0,2
859,858,Cent. Af. Rep.              ,1999,482,NA,(9) September,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,NA,11,(0) Otherwise,(1) Presence of International Observers,(3) Citizens have the right to change government,(2) Right exists but some problems,(2) Right exists but some problems,0,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(1) Low - minor problems only,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(0) Good - no problems,(0) Good - no problems,(2) Moderate - moderate problems,2,0,2
880,879,Chad                        ,1990,483,(7) July,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,6,5,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(1) Citizens do not have freedom of speech,0.5,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(2) Moderate - moderate problems,(1) Low - minor problems only,(3) High - major problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,2,0,3
886,885,Chad                        ,1996,483,NA,(7) July,(0) Otherwise,(1) Executive Election,(1) Transition or Transitional Election,(0) Otherwise,NA,5,(0) Otherwise,(0) Otherwise,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,1,(2) Moderate - moderate problems,(1) One variable had to be reconciled,(0) Good - no problems,(2) Moderate - moderate problems,(1) Low - minor problems only,(0) Good - no problems,(3) High - major problems,(0) Good - no problems,(0) Good - no problems,2,0,4
887,886,Chad                        ,1997,483,(1) January,NA,(1) Legislative Election,(0) Otherwise,(1) Transition or Transitional Election,(0) Otherwise,NA,5,(0) Otherwise,(0) Otherwise,(2) Right exists but some problems,(3) Citizens have freedom of association,(2) Right exists but some problems,1,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,(3) High - major problems,(0) Good - no problems,(1) Low - minor problems only,0,0,4
891,890,Chad                        ,2001,483,NA,(5) May,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,NA,10,(1) Presence of Domestic Observers,(0) Otherwise,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,1,(3) High - major problems,(1) One variable had to be reconciled,(2) Moderate - moderate problems,(3) High - major problems,(2) Moderate - moderate problems,(0) Good - no problems,(3) High - major problems,(2) Moderate - moderate problems,(1) Low - minor problems only,0,0,5
892,891,Chad                        ,2002,483,(4) April,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,11,(0) Otherwise,(0) Otherwise,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,1,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(2) Moderate - moderate problems,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(0) Good - no problems,(1) Low - minor problems only,1,0,4
909,908,Chile                       ,1989,155,(12) December,(12) December,(1) Legislative Election,(1) Executive Election,(0) Otherwise,(0) Otherwise,9,3,(0) Otherwise,(1) Presence of International Observers,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(1) Low - minor problems only,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(3) High - major problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,1,1
913,912,Chile                       ,1993,155,(12) December,(12) December,(1) Legislative Election,(1) Executive Election,(0) Otherwise,(0) Otherwise,7,4,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(2) Right exists but some problems,(2) Right exists but some problems,0,(1) Low - minor problems only,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,1,1
917,916,Chile                       ,1997,155,(12) December,NA,(1) Legislative Election,(0) Otherwise,NA,NA,NA,4,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(1) Low - minor problems only,"(0) No reconciliation, consensus",(1) Low - minor problems only,NA,NA,NA,NA,NA,NA,0,0,1
919,918,Chile                       ,1999,155,NA,(1) January,(0) Otherwise,(1) Executive Election,(0) Otherwise,(1) Run-off Election,NA,6,(1) Presence of Domestic Observers,(1) Presence of International Observers,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(1) Low - minor problems only,(1) One variable had to be reconciled,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,1,0,1
921,920,Chile                       ,2001,155,(12) December,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,7,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(1) Low - minor problems only,"(0) No reconciliation, consensus",(1) Low - minor problems only,(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,1,0,1
928,927,Colombia                    ,1978,100,(2) February,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,5,3,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(1) Low - minor problems only,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(3) High - major problems,(0) Good - no problems,(0) Good - no problems,NA,(0) Good - no problems,1,1,1
929,928,Colombia                    ,1978,100,NA,(6) June,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,5,3,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(1) Low - minor problems only,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(3) High - major problems,(0) Good - no problems,(0) Good - no problems,NA,(0) Good - no problems,1,1,1
933,932,Colombia                    ,1982,100,(3) March,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,8,5,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(1) Low - minor problems only,(1) One variable had to be reconciled,(0) Good - no problems,(0) Good - no problems,(3) High - major problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,1,1
934,933,Colombia                    ,1982,100,NA,(5) May,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,8,5,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(1) Low - minor problems only,(1) One variable had to be reconciled,(0) Good - no problems,(0) Good - no problems,(3) High - major problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,1,1
938,937,Colombia                    ,1986,100,(3) March,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,7,4,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(1) Low - minor problems only,(1) One variable had to be reconciled,(0) Good - no problems,(0) Good - no problems,(3) High - major problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,1
939,938,Colombia                    ,1986,100,NA,(5) May,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,7,4,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(1) Low - minor problems only,(1) One variable had to be reconciled,(0) Good - no problems,(0) Good - no problems,(3) High - major problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,1
943,942,Colombia                    ,1990,100,(3) March,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,9,4,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(3) High - major problems,(0) Good - no problems,(0) Good - no problems,NA,(0) Good - no problems,0,1,2
