country_year,electexec,electleg,electboth,IAEP.Constitution amended this year?,IAEP.Age of constitution (years),govstruct,IAEP.Regional government reps selected,IAEP.Election scheduled,IAEP.Election period,IAEP.Do party nominations field leg candidates?,IAEP.Do party nominations field executive candidates?,IAEP.Leg elec sys,IAEP.Exec elec sys,IAEP.Exec elec rules,IAEP.Num of parties that hold >= 5% of legislature,IAEP.Official state party?,IAEP.Leg elec competetive?,IAEP.Exec elec competetive?,IAEP.Boycotted by major party?,IAEP.Did election cause protest/violence?,IAEP.protestpart,IAEP.% of pop voting in leg elec,IAEP.% of pop voting in exec elec,EXELEC,LEGELEC,QED.Transitional election,QED.Runoff election,QED.Freedom to change government,QED.Freedom of association,QED.Freedom of speech,QED.Overall election quality,QED.Extent of election problems,QED.Pre-election legal structural enviornment,QED.Pre-election political conditions,QED.Pre-election violence/unrest,QED.Pre-election administrative capacity,QED.Election day explicit cheating,QED.Election day violence/unrest,QED.Election day administrative capacity,PEI.# years since last regime transition,PEI.WB income level,"PEI.PEI index of electoral integrity, imputed",PEI.Rating of electoral integrity (1-10),"PEI.Electoral laws index (0-100), imputed","PEI.Electoral prodcedures index (0-100), imputed","PEI.Voting district boundaries index (0-100), imputed","PEI.Voter regisration index (0-100), imputed","PEI.Party/candidate registration index (0-100), imputed","PEI.Media coverage index (0-100), imputed","PEI.Campaign finance index (0-100), imputed","PEI.Voting process index (0-100), imputed","PEI.Vote count index (0-100), imputed","PEI.Voting results/reactions index (protests/disputes) (0-100), imputed","PEI.Electoral authorities index (0-100), imputed",PEI.turnout,nelda1,nelda3,nelda4,nelda5,nelda11,nelda17,nelda18,nelda29,nelda30,nelda32,nelda45,nelda46,nelda47,nelda48,nelda49,VDEM.turnout,VDEM.VAP_turnout,VDEM.EMB_capacity_ord,VDEM.yrs_education,v2xel_elecparl,v2xel_elecpres,VDEM.elec_viol,VDEM.international_monitors_present,country,POLITY5.fragment,POLITY5.polity2,POLITY5.durable,POLITY5.parreg,POLITY5.parcomp,POLITY5.regtrans,FH.status,FH.fh_total,WB.GDP per capita (constant 2015 US$),"WB.Foreign direct investment, net inflows (BoP, current US$","WB.Inflation, consumer prices (annual %)",WB.Gini index,WB.%pop living in urban,WB.adult literacy rate,CIRI.PHYSINT,CIRI.NEW_EMPINX,CIRI.ELECSD,CIRI.WOPOL,CIRI.INJUD,Press Freedom Index,"AFROBAR.Election Integrity (10=free/fair, 0=unfree/unfair)"
Comoros-2004,No,Yes,No,No,3,Federal system,Autonomous decision,"Yes, exact periods",Multiple days,No,No,Majority,Directly elected,Majority rule,Missing information,No,Yes,Yes,No,No,N/A - no election protest,65,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,no,no,no,no,N/A,no,yes,yes,no,no,no,NA,NA,1,NA,1,0,2.912,1,Comoros,2,6,0,2,4,3,PF,8,1177.29923901797,672560.378635016,4.47499289078105,55.9,27.903,NA,7,10,2,1,1,22,NA
Comoros-2004,No,Yes,No,No,3,Federal system,Autonomous decision,"Yes, exact periods",Multiple days,No,No,Majority,Directly elected,Majority rule,Missing information,No,Yes,Yes,No,No,N/A - no election protest,65,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,no,no,no,no,N/A,no,yes,yes,no,no,no,NA,NA,1,NA,1,0,2.912,1,Comoros,2,6,0,2,4,3,PF,8,1177.29923901797,672560.378635016,4.47499289078105,55.9,27.903,NA,7,10,2,1,1,37,NA
Comoros-2006,Yes,No,No,No,5,Federal system,Autonomous decision,"Yes, exact periods",Multiple days,No,No,Majority,Directly elected,Majority rule,Two,No,Missing information,Missing information,No,No,N/A - no election protest,.a,54.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,no,no,no,no,N/A,no,yes,yes,no,no,no,57.26,52.14,1,NA,0,1,3.573,1,Comoros,0,9,0,2,4,3,PF,7,1184.82932671086,778420.213878796,3.37436360121208,NA,27.863,NA,7,10,2,1,1,28,NA
Comoros-2006,Yes,No,No,No,5,Federal system,Autonomous decision,"Yes, exact periods",Multiple days,No,No,Majority,Directly elected,Majority rule,Two,No,Missing information,Missing information,No,No,N/A - no election protest,.a,54.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,no,no,no,no,N/A,no,yes,yes,no,no,no,57.26,52.14,1,NA,0,1,3.573,1,Comoros,0,9,0,2,4,3,PF,7,1184.82932671086,778420.213878796,3.37436360121208,NA,27.863,NA,7,10,2,1,1,58,NA
Comoros-2009,No,Yes,No,Yes,8,Federal system,Autonomous decision,"Yes, exact periods",Multiple days,No,No,Majority,Directly elected,Majority rule,Two,No,Missing information,Missing information,No,No,N/A - no election protest,.a,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,yes,yes,no,no,no,N/A,no,no,N/A,N/A,no,no,NA,NA,1,NA,1,0,3.564,0,Comoros,0,9,3,2,4,NA,PF,7,1192.67843428353,13839598.1677915,4.3623482932572,NA,27.921,NA,8,8,2,1,0,19,NA
Comoros-2009,No,Yes,No,Yes,8,Federal system,Autonomous decision,"Yes, exact periods",Multiple days,No,No,Majority,Directly elected,Majority rule,Two,No,Missing information,Missing information,No,No,N/A - no election protest,.a,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,yes,yes,no,no,no,N/A,no,no,N/A,N/A,no,no,NA,NA,1,NA,1,0,3.564,0,Comoros,0,9,3,2,4,NA,PF,7,1192.67843428353,13839598.1677915,4.3623482932572,NA,27.921,NA,8,8,2,1,0,37,NA
Comoros-2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,yes,yes,no,no,no,N/A,no,yes,no,N/A,no,no,67.11,56.13,1,NA,0,1,3.508,1,Comoros,0,9,4,2,4,NA,PF,7,1208.48076292287,8350406.72212085,3.35475770328918,NA,27.973,NA,8,8,2,1,1,NA,NA
Comoros-2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,50.372448,6.2,64.916664,58.75,50,30.916666,56.3,52,27.3,37.8125,67,58.8125,61.25,71.35,no,yes,yes,yes,no,no,no,no,N/A,no,yes,yes,no,no,no,71.35,49.41,2,NA,1,0,2.989,0,Comoros,0,9,9,2,4,NA,PF,7,1242.58560784999,4936699.51044482,NA,NA,28.47,NA,NA,NA,NA,NA,NA,24.33,NA
Comoros-2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,50.372448,6.2,64.916664,58.75,50,30.916666,56.3,52,27.3,37.8125,67,58.8125,61.25,71.35,no,yes,yes,yes,no,no,no,no,N/A,no,yes,yes,no,no,no,71.35,49.41,2,NA,1,0,2.989,0,Comoros,0,9,9,2,4,NA,PF,7,1242.58560784999,4936699.51044482,NA,NA,28.47,NA,NA,NA,NA,NA,NA,46,NA
Comoros-2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,40.42092,4.5,66.666664,34.375,52.5,25,52.125,51.625,23.375,25,65,31.25,31.25,63.9,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,no,no,74.42,48.3,2,NA,0,1,2.989,1,Comoros,0,9,10,2,4,NA,PF,7,1254.54003983978,3569823.72997207,NA,NA,28.619,NA,NA,NA,NA,NA,NA,NA,NA
Comoros-2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,40.42092,4.5,66.666664,34.375,52.5,25,52.125,51.625,23.375,25,65,31.25,31.25,63.9,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,no,no,74.42,48.3,2,NA,0,1,2.989,1,Comoros,0,9,10,2,4,NA,PF,7,1254.54003983978,3569823.72997207,NA,NA,28.619,NA,NA,NA,NA,NA,NA,41,NA
Comoros-2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,N/A,yes,no,53.84,36.14,1,NA,0,1,2.242,1,Comoros,NA,NA,NA,NA,NA,NA,PF,8,1284.28651891376,4300803.96632158,NA,NA,29.164,NA,NA,NA,NA,NA,NA,27.91,NA
Comoros-2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,N/A,yes,no,53.84,36.14,1,NA,0,1,2.242,1,Comoros,NA,NA,NA,NA,NA,NA,PF,8,1284.28651891376,4300803.96632158,NA,NA,29.164,NA,NA,NA,NA,NA,NA,56,NA
Comoros-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,yes,unclear,unclear,no,N/A,no,no,N/A,N/A,no,no,62.8,41.27,1,NA,1,0,1.37,1,Comoros,NA,NA,NA,NA,NA,NA,PF,9,1255.04394784079,3873524.39159791,NA,NA,29.38,NA,NA,NA,NA,NA,NA,29.77,NA
Comoros-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,yes,unclear,unclear,no,N/A,no,no,N/A,N/A,no,no,62.8,41.27,1,NA,1,0,1.37,1,Comoros,NA,NA,NA,NA,NA,NA,PF,9,1255.04394784079,3873524.39159791,NA,NA,29.38,NA,NA,NA,NA,NA,NA,75,NA
Cote d'Ivoire-1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,no,yes,no,no,no,N/A,no,no,N/A,N/A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,Cote d'Ivoire,NA,NA,NA,NA,NA,NA,NA,NA,1567.76177346885,NA,NA,NA,17.679,NA,NA,NA,NA,NA,NA,NA,NA
Cote d'Ivoire-1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,no,yes,yes,no,no,N/A,no,no,N/A,N/A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,Cote d'Ivoire,NA,NA,NA,NA,NA,NA,NA,NA,1886.6924749612,NA,2.61117612633011,NA,24.5,NA,NA,NA,NA,NA,NA,NA,NA
Cote d'Ivoire-1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,yes,yes,no,no,N/A,no,no,N/A,N/A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,Cote d'Ivoire,NA,NA,NA,NA,NA,NA,NA,NA,2482.27638029119,30699999.9,8.20519054310724,NA,28.163,NA,NA,NA,NA,NA,NA,NA,NA
Cote d'Ivoire-1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,yes,yes,no,no,N/A,no,no,N/A,N/A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,Cote d'Ivoire,NA,NA,NA,NA,NA,NA,NF,11,2696.07671402303,69060000,11.4442239670114,NA,32.229,NA,NA,NA,NA,NA,NA,NA,NA
Cote d'Ivoire-1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,no,no,N/A,no,unclear,N/A,N/A,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,Cote d'Ivoire,NA,NA,NA,NA,NA,NA,PF,10,2636.91958605598,94659999.9,14.7009812997865,NA,36.829,NA,NA,NA,NA,NA,NA,NA,NA
Cote d'Ivoire-1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,no,no,N/A,no,unclear,N/A,N/A,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,Cote d'Ivoire,NA,NA,NA,NA,NA,NA,PF,11,2164.41970069564,29160000,1.86380327150623,45.5,37.91,NA,8,7,0,2,2,NA,NA
Cote d'Ivoire-1990,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,0,(2) Moderate - moderate problems,(0) Good - no problems,(2) Moderate - moderate problems,NA,(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(2) Moderate - moderate problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,yes,no,yes,no,N/A,no,no,no,N/A,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,Cote d'Ivoire,NA,NA,NA,NA,NA,NA,PF,10,1907.53255159866,48434429.6,-0.805879698277997,NA,39.345,NA,5,7,1,1,1,NA,NA
Cote d'Ivoire-1995,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,1,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(1) Low - minor problems only,(2) Moderate - moderate problems,(1) Low - minor problems only,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,yes,yes,no,no,N/A,no,yes,unclear,N/A,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,Cote d'Ivoire,NA,NA,NA,NA,NA,NA,NF,11,1723.15736879973,211760840.4,14.2950690851945,40.6,41.21,NA,1,6,1,1,1,NA,NA
Cote d'Ivoire-2000,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,1,(3) High - major problems,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(3) High - major problems,(1) Low - minor problems only,(3) High - major problems,(3) High - major problems,(0) Good - no problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,N/A,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,Cote d'Ivoire,NA,NA,NA,NA,NA,NA,PF,11,1847.86996963696,234701731.5,2.53077516737993,NA,43.155,48.7407608032227,1,6,1,2,1,NA,NA
Cote d'Ivoire-2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,yes,yes,no,no,N/A,no,no,no,N/A,no,yes,NA,NA,2,3.276,1,0,1.084,0,Cote d'Ivoire,NA,NA,NA,NA,NA,NA,PF,9,1765.32806149226,272679898.3,4.36152914007253,NA,43.568,NA,2,6,1,2,1,19,NA
Cote d'Ivoire-2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,yes,yes,no,no,N/A,no,no,no,N/A,no,yes,NA,NA,2,3.276,1,0,1.084,0,Cote d'Ivoire,NA,NA,NA,NA,NA,NA,PF,9,1765.32806149226,272679898.3,4.36152914007253,NA,43.568,NA,2,6,1,2,1,19,NA
Cote d'Ivoire-2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,no,no,no,no,N/A,no,yes,yes,no,no,no,83.73,55.61,2,3.78,0,1,0.318,1,Cote d'Ivoire,NA,NA,NA,NA,NA,NA,NF,13,1687.21651908941,358468317.342002,1.2264561213548,NA,47.33,NA,2,5,0,2,0,NA,NA
Cote d'Ivoire-2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,yes,no,no,no,N/A,no,yes,yes,no,no,no,36.56,18.16,3,3.78,1,0,0.361,1,Cote d'Ivoire,NA,NA,NA,NA,NA,NA,NF,12,1558.96869731226,301972462.517861,4.91243395052462,NA,47.751,NA,2,4,0,2,0,NA,NA
Cote d'Ivoire-2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,yes,yes,no,no,N/A,no,yes,no,N/A,no,no,52.86,25.88,3,3.78,0,1,2.588,1,Cote d'Ivoire,NA,NA,NA,NA,NA,NA,PF,8,1972.54568305836,494408755.776341,1.25149954781474,41.5,49.444,NA,NA,NA,NA,NA,NA,30.17,NA
Cote d'Ivoire-2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,yes,yes,no,no,N/A,no,yes,no,N/A,no,no,52.86,25.88,3,3.78,0,1,2.588,1,Cote d'Ivoire,NA,NA,NA,NA,NA,NA,PF,8,1972.54568305836,494408755.776341,1.25149954781474,41.5,49.444,NA,NA,NA,NA,NA,NA,82,NA
Cote d'Ivoire-2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,yes,yes,no,no,N/A,no,no,N/A,N/A,no,no,34.1,16.15,3,3.78,1,0,2.586,1,Cote d'Ivoire,NA,NA,NA,NA,NA,NA,PF,8,2061.21524653499,577871524.156215,0.723178457513252,NA,49.881,NA,NA,NA,NA,NA,NA,NA,NA
Cote d'Ivoire-2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,yes,yes,no,no,N/A,no,no,N/A,N/A,no,no,34.1,16.15,3,3.78,1,0,2.586,1,Cote d'Ivoire,NA,NA,NA,NA,NA,NA,PF,8,2061.21524653499,577871524.156215,0.723178457513252,NA,49.881,NA,NA,NA,NA,NA,NA,77,NA
Cote d'Ivoire-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,53.9,26.89,3,3.78,0,1,0.853,1,Cote d'Ivoire,NA,NA,NA,NA,NA,NA,PF,9,2313.79338827553,508531022.5,2.42500656821829,NA,51.706,NA,NA,NA,NA,NA,NA,NA,NA
Cote d'Ivoire-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,53.9,26.89,3,3.78,0,1,0.853,1,Cote d'Ivoire,NA,NA,NA,NA,NA,NA,PF,9,2313.79338827553,508531022.5,2.42500656821829,NA,51.706,NA,NA,NA,NA,NA,NA,NA,NA
Cote d'Ivoire-2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.78,1,0,1.106,NA,Cote d'Ivoire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cote d'Ivoire-2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.78,1,0,1.106,NA,Cote d'Ivoire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Democratic Republic of the Congo-1970,No,No,No,No,3,Unitary system,Central government decision,Missing information,One day,No,No,Proportional representation,Directly elected,Majority rule,Missing information,No,No,No,No,Missing information,Missing information,.a,100.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Democratic Republic of the Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Democratic Republic of the Congo-1975,No,Yes,No,No,1,Unitary system,Central government decision,"Yes, exact periods",One day,Yes,Yes,Plurality (FPP),Directly elected,Majority rule,One,Yes,No,No,No,No,N/A - no election protest,.a,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Democratic Republic of the Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
